folder,cleaned_lyrics,label
21 Savage - Bank Account,Ooh ooh oh oh oh ow ow Wow wow wow ah ow ow ow I buy a new car for the bitch For real I tear down the mall with the bitch For real You cant even talk to the bitch No She fucking with bosses and shit On God I pull up in Raris and shit Skrrr With choppers and Harleys and shit For real I be Guccid down Gucci You wearing Lacoste and shit Bitch Yeah Moncler yuh fur came off a bear yuh Yeah Triple homicide put me in a chair yuh In jail Triple cross the plug we do not play fair yuh On God Got em tennis chains on and they real blingy Bling Draco make you do the chicken head like Chingy Chingy Walk in Neiman Marcus and I spend a light fifty Fifty Please proceed with caution shooters they be right with me Bad bitch cute face and some nice titties on a Saint Laurent jacket Yeah Bitch be careful when you dumpin your ashes Bitch I aint no sucker I aint cuffin no action Nah The skreets raised me Im a whole bastard Wild I bought a Rari just so I can go faster Skrrr Niggas tryna copy me they playin catch up I might pull up in a Ghost no Casper I been smoking gas and I got no asthma See Savage LiveGet tickets as low as You might also like I got Ms in my bank account yeah On God In my bank account yeah On God In my bank account yeah On God In my bank account yeah On God In my bank account yeah On God In my bank account yeah On God I got shooters ready to gun you down yeah Fast Ready to gun you down yeah On God Ready to gun you down yeah On God Ready to gun you down yeah On God Ready to gun you down yeah On God Ready to gun you down yeah On God Yeah dawg huhyeah nah for real dawg Straight up out the now got a house in the Hills dawg Wanna see a body nigga Get you killed dawg Wet Wanna tweet about me nigga Get you killed dawg Wet Killed dog Im a real dawg you a lil dawg Bill dog want a bil dog chasing mils dawg Yeah Dunk right in your bitch like ONeal dawg Wet Plus I shoot like Reggie Mill dawg Chopper sting you like a eel dawg Fast I got Ms in my bank account yeah On God In my bank account yeah On God In my bank account yeah On God In my bank account yeah On God In my bank account yeah On God In my bank account yeah On God I got shooters ready to gun you down yeah Fast Ready to gun you down yeah On God Ready to gun you down yeah On God Ready to gun you down yeah On God Ready to gun you down yeah On God Ready to gun you down yeah On God Ruler clipumm sent a ruler hit Pull up on yo bitch she say that I got a ruler dick Spray your block down we not really with that ruhrah shit Glock cocked now I dont really give no fuck bout who I hit Yeah yo bitch she get jiggy with me keep that Siggy with me Bitch Im Mad Max you know I got Ziggy with me Keep a mad mag in case a nigga wanna get busy with me Rari matte black and I got a Bentley with me I got Ms in my bank account yeah On God In my bank account yeah On God In my bank account yeah On God In my bank account yeah On God In my bank account yeah On God In my bank account yeah On God I got shooters ready to gun you down yeah Fast Ready to gun you down yeah On God Ready to gun you down yeah On God Ready to gun you down yeah On God Ready to gun you down yeah On God Ready to gun you down yeah On God on a Saint Laurent jacket Bitch be careful where you dumpin your ashes I aint no sucker I aint cuffin no action The streets raised me Im a whole bastardEmbed,<pad> anger
A Boogie Wit da Hoodie - Drowning ,Im drownin Im drownin Im drownin Im drownin Wrist so icy wonder why she like me bitch Im drownin In water I just bought a Cuban dipped it in a fountain Everywhere that I go its a light show Im surrounded Bust down bust down bust down bust down bust down bitch Im drownin I just bought a Cuban ring and dipped it in a fountain Chain so heavy I feel like Im holdin up a mountain Everywhere that I go its a light show Im surrounded Bust down bust down bust down bust down bust down bitch Im drownin Im with all my niggas I dont go nowhere without em If they dont let us in they might throw shots at the bouncer Actavis medicine got it straight from out the doctors Im with RJ but I call him Wayne cause hes a shotta Pick up the ladder put it in the gun make the stretch Niggas with attitude but we come straight out of Highbridge Im gon make her panties wet when she see the way I flex Im gon win a Grammy move my family out the projects We went from chillin in the projects to makin projects We was tryna get to the top and they tried to stop us I talk for myself bitch I dont need no fucking voucher She looked at my wrist and she looked at a hundred thousand You might also like Wrist so icy wonder why she like me bitch Im drownin In water I just bought a Cuban dipped it in a fountain Everywhere that I go its a light show Im surrounded Bust down bust down bust down bust down bust down bitch Im drownin I just bought a Cuban ring and dipped it in a fountain Chain so heavy I feel like Im holdin up a mountain Everywhere that I go its a light show Im surrounded Bust down bust down bust down bust down bust down bitch Im drownin Just bought a brand new chain from Avianne Nigga with attitude but I aint from Compton Lil Kodak bitch Im Polod down like Carlton Sniper Gang I put a nigga on a carton Im the shit Im fartin I dont know how to potty Pull up in a Rari Im in the Yo like Gotti A Boogie Im goin Scottie nigga drop my deposit I aint Jamaican bitch Im Haitian but I got them shottas Harley Davidson every day Im ridin with the chopper They hatin I know they dont wanna see a nigga prosper I aint doing trims Im in the cut like Im a barber She call me daddy but I aint her motherfucking father Wrist so icy wonder why she like me bitch Im drownin In water I just bought a Cuban dipped it in a fountain Everywhere that I go its a light show Im surrounded Bust down bust down bust down bust down bust down bitch Im drownin I just bought a Cuban ring and dipped it in a fountain Chain so heavy I feel like Im holdin up a mountain Everywhere that I go its a light show Im surrounded Bust down bust down bust down bust down bust down bitch Im drownin Bitch Im drownin Bitch Im drownin Im drownin Drownin Im drowninEmbed,<pad> sadness
Adele - Hello,Hello its me I was wondering if after all these years youd like to meet To go over everything They say that times supposed to heal ya but I aint done much healing Hello can you hear me Im in California dreaming about who we used to be When we were younger and free Ive forgotten how it felt before the world fell at our feet Theres such a difference between us And a million miles Hello from the other side I mustve called a thousand times To tell you Im sorry for everything that Ive done But when I call you never seem to be home Hello from the outside At least I can say that Ive tried To tell you Im sorry for breaking your heart But it dont matter it clearly doesnt tear you apart anymore Hello how are you Its so typical of me to talk about myself Im sorry I hope that youre well Did you ever make it out of that town where nothing ever happened You might also like Its no secret that the both of us Are running out of time So hello from the other side Other side I mustve called a thousand times Thousand times To tell you Im sorry for everything that Ive done But when I call you never seem to be home Hello from the outside Outside At least I can say that Ive tried Ive tried To tell you Im sorry for breaking your heart But it dont matter it clearly doesnt tear you apart anymore Highs highs highs highs lows lows lows lows Ooh anymore Highs highs highs highs lows lows lows lows Ooh anymore Highs highs highs highs lows lows lows lows Ooh anymore Highs highs highs highs lows lows lows lows Anymore Hello from the other side Other side I mustve called a thousand times Thousand times To tell you Im sorry for everything that Ive done But when I call you never seem to be home Hello from the outside Outside At least I can say that Ive tried Ive tried To tell you Im sorry for breaking your heart But it dont matter it clearly doesnt tear you apart anymore Embed,<pad> sadness
Adele - Send My Love ,Just the guitar Okay cool This was all you none of it me You put your hands on on my body and told me Mmm told me you were ready For the big one for the big jump Id be your last love everlasting you and me Mmm that was what you told me Im giving you up Ive forgiven it all You set me free Send my love to your new lover Treat her better Weve gotta let go of all of our ghosts We both know we aint kids no more Send my love to your new lover Treat her better Weve gotta let go of all of our ghosts We both know we aint kids no more You might also like I was too strong you were trembling You couldnt handle the hot heat rising Rising Mmm baby Im still rising I was running you were walking You couldnt keep up you were falling down Down Mmm theres only one way down Im giving you up Ive forgiven it all You set me free oh Send my love to your new lover Treat her better Weve gotta let go of all of our ghosts We both know we aint kids no more Send my love to your new lover Treat her better Weve gotta let go of all of our ghosts We both know we aint kids no more If youre ready if youre ready If youre ready I am ready If youre ready if youre ready We both know we aint kids no more No we aint kids no more Im giving you up Ive forgiven it all You set me free Send my love to your new lover Treat her better Weve gotta let go of all of our ghosts We both know we aint kids no more Send my love to your new lover Treat her better Weve gotta let go of all of our ghosts We both know we aint kids no more If youre ready if youre ready Send my love to your new lover If youre ready are you ready Treat her better Weve gotta let go of all of our ghosts We both know we aint kids no more If youre ready if youre ready Send my love to your new lover If youre ready are you ready Treat her better Weve gotta let go of all of our ghosts We both know we aint kids no moreEmbed,<pad> joy
Adele - When We Were Young,Everybody loves the things you do From the way you talk to the way you move Everybody here is watching you Cause you feel like home youre like a dream come true But if by chance youre here alone Can I have a moment before I go Cause Ive been by myself all night long Hoping youre someone I used to know You look like a movie you sound like a song My God this reminds me of when we were young Let me photograph you in this light in case it is the last time That we might be exactly like we were before we realised We were sad of getting old it made us restless It was just like a movie it was just like a song I was so scared to face my fears Nobody told me that youd be here And I swear youd moved overseas Thats what you said when you left me You might also like You still look like a movie you still sound like a song My God this reminds me of when we were young Let me photograph you in this light in case it is the last time That we might be exactly like we were before we realised We were sad of getting old it made us restless It was just like a movie it was just like a song When we were young when we were young When we were young when we were young Its hard to admit that everything just takes me back To when you were there to when you were there And a part of me keeps holding on just in case it hasnt gone Cause I still care do you still care It was just like a movie it was just like a song My God this reminds me of when we were young When we were young when we were young When we were young when we were young Let me photograph you in this light in case it is the last time That we might be exactly like we were before we realised We were sad of getting old it made us restless Oh Im so mad Im getting old it makes me reckless It was just like a movie it was just like a song When we were youngEmbed,<pad> love
After School - DIVA,I love my boy Ooh yeah I love my boy I love you my boy I love my boy Duduru duru duru I love my boy I love you my boy Everybody scream Only one make me burn Check Diva diva di di di diva Only one make me burn Hurry hurry Once Give me love diva diva di di di diva Feel so hot Go Make it I got Master key Masterpiece Dream match Super tag team You know we are destiny After this Come on now Look at me Cherry jelly Kiss Sweet boy You are my favorite You might also like Only one make me burn Check Diva diva di di di diva Only one make me burn Hurry hurry Once Give me love diva diva di di di diva Just tell me what you wanna do I dont wanna let you go I just wanna get it done I got big plan for you love for you I dont give a damn what people say OK No matter what you are my man Check you sign check your eyes Burn your LOVE Youre so perfect Passion Come to me Thats your Only one make me burn Check Diva diva di di di diva Only one make me burn Hurry hurry Once Give me love diva diva di di di diva Only one make me burn Check Oh oh Diva diva di di di diva Only one make me burn Only one make me burn Hurry hurry Once Give me love diva diva di di di diva Only one make me burn Check Diva diva di di di diva Only one make me burn Hurry hurry Once Give me love diva diva di di di diva Na na na na na Na na na na na Na na na na na Na na na na na Diva diva di di di divaEmbed,<pad> love
Alan Walker - Faded,You were the shadow to my light Did you feel us Another star you fade away Afraid our aim is out of sight Wanna see us alight Where are you now Where are you now Where are you now Was it all in my fantasy Where are you now Were you only imaginary Where are you now Atlantis under the sea under the sea Where are you now Another dream The monsters running wild inside of me Im faded Im faded So lost Im faded Im faded So lost Im faded These shallow waters never met what I needed Im letting go a deeper dive Eternal silence of the sea Im breathing alive See Alan Walker LiveGet tickets as low as You might also like Where are you now Where are you now Under the bright but faded lights You set my heart on fire Where are you now Where are you now Where are you now Atlantis under the sea under the sea Where are you now Another dream The monsters running wild inside of me Im faded Im faded So lost Im faded Im faded So lost Im fadedEmbed,<pad> fear
Alessia Cara - Here,I guess right now youve got the last laugh Im sorry if I seem uninterested Or Im not listenin or Im indifferent Truly I aint got no business here But since my friends are here I just came to kick it But really I would rather be at home all by myself Not in this room with people who dont even care about my wellbeing I dont dance dont ask I dont need a boyfriend So you can go back please enjoy your party Ill be here somewhere in the corner Under clouds of marijuana with this boy whos hollerin I can hardly hear Over this music I dont listen to and I dont wanna get with you So tell my friends that Ill be over here Ohohoh here ohohoh here Ohohoh I ask myself what am I doin here Ohohoh here ohohoh here And I cant wait til we can break up out of here You might also like Excuse me if I seem a little unimpressed with this An antisocial pessimist but usually I dont mess with this And I know you mean only the best And your intentions arent to bother me but honestly Id rather be Somewhere with my people we can kick it and just listen to Some music with a message like we usually do And well discuss our big dreams how we plan to take over the planet So pardon my manners I hope youll understand that Ill be here Not there in the kitchen With the girl whos always gossipin about her friends So tell them Ill be here Right next to the boy whos throwin up Cause he cant take whats in his cup no more Oh God why am I here Ohohoh here ohohoh here Ohohoh I ask myself what am I doin here Ohohoh here ohohoh here And I cant wait til we can break up out of here Hours later congregatin next to the refrigerator Some girl talkin bout her haters she aint got none How did it ever come to this I shouldve never come to this So holla at me Ill be in the car when youre done Im standoffish dont want what youre offerin And Im done talkin awfully sad it had to be that way So tell my people when theyre ready that Im ready And Im standin by the TV with my beanie low Yo Ill be over here Ohohoh here ohohoh here Ohohoh I ask myself what am I doin here Ohohoh here ohohoh here And I cant wait till we can break up out of hereEmbed,<pad> anger
Alok - Hear Me Now,Ed Sheeran Shape of You Luis Fonsi Daddy Yankee Despacito Remix feat Justin Bieber Luis Fonsi Daddy Yankee Despacito The Chainsmokers Coldplay Something Just Like This DJ Khaled Im the One feat Justin Bieber Quavo Chance The Rapper Lil Wayne Kendrick Lamar HUMBLE Kygo Selena Gomez It Aint Me French Montana Unforgettable feat Swae Lee Bruno Mars Thats What I Like ZAYN Taylor Swift I Dont Wanna Live Forever Fifty Shades Darker Lil Uzi Vert XO TOUR Llif The Chainsmokers Paris Zedd Alessia Cara Stay Charlie Puth Attention Future Mask Off Post Malone Congratulations feat Quavo Jason Derulo Swalla feat Nicki Minaj Ty Dolla ign Ed Sheeran Castle on the Hill Clean Bandit Rockabye feat Sean Paul AnneMarie Imagine Dragons Believer J Balvin Willy William Mi Gente Imagine Dragons Thunder James Arthur Say You Wont Let Go Shawn Mendes Theres Nothing Holdin Me Back Danny Ocean Me Rehso Julia Michaels Issues Ed Sheeran Galway Girl Martin Garrix Dua Lipa Scared to Be Lonely The Chainsmokers Closer feat Halsey Clean Bandit Symphony feat Zara Larsson The Weeknd I Feel It Coming feat Daft Punk The Weeknd Starboy feat Daft Punk DJ Khaled Wild Thoughts feat Rihanna Bryson Tiller Calvin Harris Slide feat Frank Ocean Migos Dua Lipa New Rules Logic feat Alessia Cara Khalid Drake Passionfruit Post Malone rockstar feat Savage Liam Payne Strip That Down feat Quavo David Guetta U feat Justin Bieber Ed Sheeran Perfect Starley Call On Me Ryan Riback Remix Calvin Harris Feels feat Pharrell Williams Katy Perry Big Sean Jonas Blue Mama feat William Singe Maluma Felices los KYLE iSpy feat Lil Yachty Khalid Location Shakira Chantaje feat Maluma Migos Bad and Boujee feat Lil Uzi Vert Camila Cabello Havana feat Young Thug Martin Jensen Solo Dance Drake Fake Love DJ Snake Let Me Love You feat Justin Bieber Axwell Ingrosso More Than You Know Drake One Dance feat WizKid Kyla Enrique Iglesias SUBEME LA RADIO feat Descemer Bueno Zion Lennox Maggie Lindemann Pretty Girl Cheat Codes X CADE Remix Demi Lovato Sorry Not Sorry Childish Gambino Redbone Bruno Mars K Magic Kendrick Lamar DNA Nicky Jam El Amante Jax Jones You Dont Know Me feat RAYE Katy Perry Chained To The Rhythm feat Skip Marley Cheat Codes No Promises feat Demi Lovato Maroon Dont Wanna Know feat Kendrick Lamar Alessia Cara How Far Ill Go Niall Horan Slow Hands Wisin Escpate Conmigo feat Ozuna Big Sean Bounce Back Harry Styles Sign of the Times Travis Scott goosebumps Khalid Young Dumb Broke Martin Garrix Troye Sivan There for You Maroon Cold feat Future Marshmello Silence feat Khalid Sam Smith Too Good At Goodbyes Steve Aoki Just Hold On feat Louis Tomlinson Taylor Swift Look What You Made Me Do Macklemore Glorious feat Skylar Grey Hailee Steinfeld Grey Starving feat Zedd CNCO Reggaetn Lento Bailemos AJR Weak Ariana Grande Side To Side feat Nicki Minaj Zion Lennox Otra Vez feat J Balvin Lauv I Like Me Better Martin Garrix Bebe Rexha In the Name of Love Major Lazer Cold Water feat Justin Bieber M Miley Cyrus Malibu The Vamps Matoma All Night Alok Hear Me Now feat Bruno Martini Zeeba Rita Ora Your Song Chris Jeday Ahora Dice feat J Balvin Ozuna Arcangel Justin Bieber BloodPop Friends Savage Bank Account Machine Gun Kelly Bad Things feat Camila Cabello The Chainsmokers Dont Let Me Down feat Daya Sam Hunt Body Like A Back Road Halsey Now Or Never ZAYN Dusk Till Dawn feat SIaEmbed,<pad> sadness
Alpines - Alright,If you know that I feel the way I do Why did you walk out And say the things that you If you know that Time is short Why you wasting it What did you do that for Cause weve got each other And theres no mistaking It wasnt easy But we found our faith Cause weve got each other And theres no mistaking Its not been easy But we found this place Ive been loving you what feels like my whole life my whole life And Ill be tearing up these streets just to tell you its alright Its alright its alright its alright Its alright its alright its alright Its alright You might also like If you feel that And I know you do Why you hiding it Scared of the truth Oh look how Far weve come Can you see now That we have won Cause weve got each other And theres no mistaking Its not been easy But we found this place Cause Ive been loving you what feels like my whole life my whole life And Ill be tearing up these streets just to tell you its alright Its alright its alright its alright Its alright its alright its alright Its alright What if all Ive got to give you Is not enough to give What if I know my hearts true And I know you think it is What if all Ive got to give you Is not enough to give What if I know my hearts true And I know you think it is Cause Ive been loving you what feels like my whole life my whole life And Ill be tearing up these streets just to tell you its alright Its alright its alright its alright Its alright its alright its alright Its alright Its alright its alright its alright Its alright its alright its alright Its alright Cause Ill be loving you what could be my whole life my whole life And Ill be tearing up these streets just to tell you its alrightEmbed,<pad> love
